대학,학과,전형,질문,답변,원본파일
가천대학교(성남),간호학과,학생부종합(농어촌),"동아리, 학교생활을 하면서 힘들었던 점이나 갈등을 겪은 것이 있다면 이야기해주세요.",3학년 반장 활동을 하면서 ~생략 (갈등을 겪고 해결 과정을 말씀드림.)~ 해결했습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(농어촌),학교에서 배려를 실천한 사례를 이야기해주세요.,1학년 때 부반장 활동을 하면서 우울증이 심했던 친구를 도왔습니다. (어떻게 도왔는지 설명했음.) (-> 꼬리 질문으로 신체장애와 지적 장애가 있는 사람을 어떻게 차별점을 두고 대할 것인지 물어봄.),18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(농어촌),미적분 교과에 적힌 SIR 모델이 무엇인가요?,감염병의 종식 예측 모델로 감염재생산지수가 ~생략~ 종식 모델을 예측할 수 있습니다. (->꼬리 질문으로 SIR 모델의 철자 의미도 물어보심.),18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(농어촌),동아리 활동에서 항우울제를 조사했던데 약의 부작용에는 무엇이 있는지 알고 있습니까?,(부작용에 대해 언급한 바가 없으므로 몰랐음.)죄송합니다. 너무 긴장해서 잘 떠오르지 않습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(농어촌),자소서에 아세트아미노펜과 카페인 실험을 했던데 정확하게 어느 농도에서 독성이 나왔는지 확인 했나요? 그리고 약품 중 아세트아미노펜을 선택한 이유는 무엇인가요?,아니요. 확인하지 못했습니다. 저희가 실험할 때 브라인 쉬림프로 실험을 했기 때문에 인체에 정확 하게 파악하지 못했습니다. 아세트아미노펜은 타이레놀의 주성분으로 학교 친구들이 만병통치약처 럼 사용하기에 호기심을 갖고 실험해봤습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(농어촌),국어 교과에서 연명치료에 관심을 가졌는데 본인의 의견은 어떤가요?,"물론 의료인으로서 끝까지 간호해야 하지만, 환자의 입장을 고려했을 때 죽음을 준비하고 환자의 존엄한 죽음을 위해서는 연명치료의 중단은 좋은 결정이 될 수 있을 것입니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),지원자 자기소개를 해볼까요?,간호사가 되고자 하는 동기 및 어떤 간호사가 되고 싶은지에 대해 준비한 내용을 답변하였습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),청소년 우울증에 관한 보고서(생활기록부 자율활동 특기사항)를 작성하였는데 청소년의 우울증 발 병 원인에 대해 설명해 보세요.,생활기록부에 작성된 내용을 바탕으로 우울증의 원인에 대해 설명하고 우울증 예방을 위한 방안에 관해 설명하였습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),배아의 유전자 편집 기술 찬반 토론 활동(생활기록부 생명과학2 세부능력 및 특기사항)에서 반대 입장을 대표하는 발표를 한 내용이 있는데 반대하는 이유에 관해 이야기해 보세요.,"인간의 존엄성을 해칠 수 있다는 견해, 인종 문제와 같은 또 다른 인간 차별 문제를 야기할 수 있 다는 점을 이유로 설명하였습니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),뇌의 변연계가 어떠한 역할을 하는지 설명해 보세요.,잘 기억은 나지 않지만 감정 영역을 담당하고 있는 것으로 알고 있습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),(생활기록부 생활과학 세부능력 및 특기사항) 진통제의 작동원리에 대해 설명해 보세요.,제대로 설명을 하지 못했습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),혈액투석 시 저혈당 증상이 발생할 수 있다라는 탐구내용(생활기록부 화학2 세부능력 및 특기사 항)이 있는데 저혈당이 발생하는 이유에 대해 설명해 보세요.,혈액투석이 혈액과 투석액 사이에 반투과성 막을 두고 진행이 되는데 혈액과 투석액 사이의 농도 차이로 인한 혈액에 포도당이 투석액으로 확산되면서 저혈당 증상을 유발할 수 있습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),마지막으로 하고 싶은 말이 있으면 이야기해 보세요.,사전에 준비한 대로 이야기하고 나왔습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),지원동기 말해주세요.,안녕하십니까. 저는 환자의 마음을 돌보는 간호사가 되고자 간호학과에 지원한 지원자입니다. 제 가 간호학과에 지원한 이유는 환자의 곁에서 따뜻한 돌봄을 줄 수 있는 간호사가 되고 싶다는 생 각에서 지원하게 되었습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),어떤 분야에 관심이 있나요?,"저는 간호학과를 졸업해서 응급실 간호사가 되고 싶습니다. 학교에서 활력 징후를 직접 측정해 보 고, 이를 간호 기록지에 적어 보는 활동을 하였습니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),읽은 책 중에서 기억에 남는 책이 있다면 말씀해 보세요.,‘적기-생과 사의 갈림길’이라는 책이 가장 기억에 남습니다. 제가 이 책을 읽게 된 동기는 간호사 의 역할에 대해 더 깊이 이해하고 싶어서였습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),손상된 DNA에 대해 탐구를 많이 했는데 설명해 주세요.,"CTP 단백질에 중점을 두고 탐구했습니다. CTP 단백질은 우리 몸의 DNA가 손상됐을 때 이를 복 구하는 역할을 합니다. CTP는 손상된 부분을 잘라내고 정리해서, 다른 단백질들이 와서 손상된 DNA를 정확하게 연결할 수 있도록 도와줍니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),"병 진단 오진율을 주제로 탐구 활동을 했다고 하는데, 이에 관해 설명해 주세요.","특정 질병의 진단에서 오진이 발생할 확률을 분석했습니다. 예를 들어, 특정 검사를 통해 양성 결 과가 나왔을 때 실제로 그 질병에 걸렸을 확률을 계산하는 데 조건부 확률을 사용했습니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),DNA와 RNA 차이점 말해주세요.,"DNA는 이중 나선 구조를 가지고 있으며, 두 개의 나선이 서로 꼬여 있습니다. DNA의 구성 성분 은 네 가지 염기로, 아데닌(A), 구아닌(G), 사이토신(C), 티민(T)입니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(가천바람개비),마지막으로 하고 싶은 말이 있나요?,나이팅게일의 말 중에 ‘우리에게 있어서 첫 번째로 해야 할 여행은 우리에게 특별한 장소를 찾는 것이다.’라는 말이 있습니다. ~기회를 주신다면 누구보다 열심히 하는 학생이 되겠습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),오는데 힘들지는 않았나요? 자기소개 해주세요.,안녕하십니까. 가번호 OO 번입니다. 저는 중환자실의 상황에 대한 깊은 이해를 바탕으로 중환자 전문 간호사를 꿈꾸는 학생입니다. ‘중환자실 간호사의 윤리 의식이 환자의 연명의료 태도에 미치 는 영향’이라는 주제로 탐구를 진행하며 간호사는 연명의료 결정 과정에서 신뢰할 수 있는 지식과 정서를 바탕으로 환자와 보호자가 현명한 결정을 내릴 수 있도록 돕는 중요한 역할을 한다는 것 을 알게 되었습니다. (이후 되고 싶은 간호사와 가천대학교에서 배우고 싶은 점을 덧붙임),18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),"화학2에서 생체 내 완충 시스템에 대해서 탐구했다고 하는데, 이에 관해 설명해 주세요.","생체 내 완충용액은 체내에서 산과 염기의 농도를 조절하여 pH를 일정하게 유지하는 역할을 하 는 용액입니다. 제가 탐구한 완충 시스템은 인산 완충 시스템이었습니다. 인산 완충 시스템은 인 산과 이수 소인 산, 일수 소인 산으로 구성되며 완충 범위가 pH 6.8로 세포 내 pH와 유사하여 세포 내에서 특히 효과적입니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),혈액의 pH가 어느 정도인지 알고 있나요?,혈액의 pH는 약 7.2 정도인 것으로 알고 있습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),"생명과학2에서 신경병증성에 대해 탐구했는데, 이에 관해 설명해 주세요.","신경병증성 통증은 본상 감감 계를 침범하는 병변이나 질환의 직접적인 결과로 발생하는 통증입 니다. 가장 기억에 남는지 신경병증성 통증은 복합부위통증증후군입니다. 복합부위통증증후군은 가벼운 외상, 수술 이후에 발생하는 통증으로 제1형과 제2형이 있습니다. 제1형은 신경 손상의 증 거가 없을 때, 제2형은 신경 손상의 증거가 있을 때입니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),"생명 1 과목에서 고지혈증의 유형에 따라 치료법이 다를까 하는 주제로 탐구를 진행했는데, 유형 에 따라 치료를 어떻게 바꿔야 하죠?","고지혈증에는 순수고콜레스테롤혈증과 순수고중성지방혈증이 있습니다. 순수고 콜레스테롤 혈증은 담류 즙 산 제거제를 사용해야 하며, 순수고중성지방혈증에는 리판틸이나 올 배 탐을 사용해야 합니다. (올 배 탐 말할 때 기억이 안 나서 조금 시간을 끎.) 2025학년도 대입전형 면접후기 자료집 Ⅱ - 4 -",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),2학년 자율에서 쓰레기 수거장 건립과 주민의 건강 악화에 대한 상관관계 분석을 할 때 p-value 값을 사용했네요. p-value가 뭐죠?,p-value는 데이터가 발생할 확률을 뜻합니다. 일반적으로 값이 0.005 미만이면 통계적으로 유의 미하다고 판단하여 귀무가설을 기각합니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),"오르가노이드에 대해 탐구했는데, 그럼정의나 활용 방안에 대해 말해보세요.",오르가노이드는 줄 시 세포에서 파생되고 해당 생체 내 조직의 복잡한 구조와 기능의 여러 측변 을 요약하는 3D 조직입니다. 이는 동물 실험 대체제와 인공 장기로 쓰일 수 있습니다. (답변할 때 더 자세히 말함),18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),생활기록부 활동 중에 제1형 당뇨와 2형 당뇨의 차이점과 특징을 영어로 설명했다고 하던데 이 둘의 차이점이 뭔가요?,이들이 나타나는 원인을 가지고 차이점을 설명함,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),대항작용에 대해서 탐구했다고 나와 있네요. 대항작용이 뭔가요?,인슐린과 글루카곤 같은 대항 호르몬을 언급하며 대항작용에 관해 설명함,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),CAR-T 세포에 대한 보고서를 동아리 시간에 작성했는데 무슨 내용이었나요?,car-t 세포의 암세포 사멸 과정을 신호전달 수준에서 분석했던 것을 설명하고 이를 통해 이해할 수 있었던 것들을 말함,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),고1 때 방송부를 했었네요? 방송부를 하면서 가장 기억에 남는 활동이 있나요?,"축제 때 동아리 부스를 제작했던 것을 언급하며 어떤 어려움이 있었고 그것을 어떤 식으로 극복 했는지, 결과적으로 뭘 배웠는지를 엮어 설명함",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),생활기록부를 보니까 봉사 시간이 매우 많은 편인데 어떤 활동으로 채워진 거 같나요?,봉사 시간의 대부분이 방송부를 통해 받았던 것들이라 방송부로 활동하며 행사 등에서 봉사했던 것을 언급하며 설명했음,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부교과(지역균형),마지막으로 하고 싶은 말 있나요?,바람개비는 바람이 있어야 돌아갑니다. 하지만 저는 바람을 기다리는 것이 아닌 직접 뛰어 바람개 비를 돌리는 사람이 되고 싶습니다. 감사합니다. + 질문이 정확히 기억나는 것보다 2~3개 정도 더 있었는데 기억나지 않음. 그래서 기재 못 함.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(기회균형),가천대학교 간호학과에 지원하게 된 동기를 포함해서 자기소개를 말씀해주세요.,"저는 따뜻한 공감과 봉사정신을 갖춘 정신건강의학과 간호사로 근무하고 싶은 가번호 00입니다. 저는 고등학교 재학 중 장애인 또래도우미와 간호동아리 부장, 부반장을 맡아오면서 일상에서 필 요한 봉사활동을 실천해 왔습니다. 이러한 경험과 제가 평소에 시청하는 다큐, 의학 관련 도서를 읽으면서 간호사의 분야 중 정신건강의학과 간호사를 희망하게 되었습니다. 가천대학교에서 특화 되어 있는 1:1 임상간호 실습과 마그누스 동아리에 참여하게 된다면 제가 꿈꾸는 사회에 봉사하 는 간호사의 길을 더 크고 새로운 길로 이끌어 나갈 수 있다 생각하여 지원하게 되었습니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(기회균형),화학II 과목에서 삼투현상을 이동한 동물세포의 호르몬 실험을 탐구하셨다 하였는데 자세히 말씀 해주세요.,동물세포의 삼투압 조절 호르몬 실험에서 항이뇨 호르몬을 중심으로 탐구하였습니다. 함이뇨 호르 몬의 영향으로 세포 내 수분 농도를 조절을 할 수 있습니다. 이러한 수분 농도를 조절할 때 세포 막을 통하여 다양한 물질에 따라 물이 이동한다는 것을 구체적으로 알게 되었습니다.,18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(기회균형),정신과 간호과를 희망한다 하셨는데 계기가 무엇일까요?,"평소 마약에 대한 위험성 중 매스버그와 같은 정신적 질환에 탐구해보고 관심을 가지게 되었었고, 가장 큰 계기로는 재학 중 친하게 지냈었던 친구가 ADHD와 우울증을 겪게 되면서 정신질환에 대 해 탐구해보고 친구와 함께 대화를 나누어 보면서 정신과 간호사에 대해 자연스레 관심을 가지게 되었습니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(기회균형),간호자의 책무로는 어떤 것이 있을까요?,"간호사의 책무로는 봉사정신과 공감능력이라고 생각합니다. 코로나 19 팬데믹 상황에서 간호사 본 인도 위험한 상황이나, 환자들을 위해서 자신을 희생하는 모습이 봉사 정신이 있지 않으면 볼 수 없었을 모습이라 생각하였습니다. 또한 공감 능력이 있어야 환자에게 더 진심으로 간호하고, 의사 소통 능력도 더 발휘하여 간호의 질을 높일 수 있을거라 생각하였습니다.",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(기회균형),마지막으로 할말은?,가천대 간호학과에 입학하여 1:1 임상간호 실습과 봉사 동아리 활동을 통해 학교생활 속에서 간호 사의 역량을 키워나가고 환자의 입장을 먼저 생각하는 간호사가 되겠습니다. 감사합니다!,18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),지원동기를 말해주세요.,저는 박물관이나 전시회에 가는 것이 저의 유년시절 큰 행복이였습니다. 그런 경험들 덕분에 자연 스럽게 저도 훗날 공간이라는 매개체로 사람들에게 같은 부류의 행복을 느끼게 해주고 싶다는 생 각을 하게 되어 건축학과에 지원하게 되었습니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),그럼 건축에 대해 읽은 책들을 다 이야기 해줄 수 있나요?,"네. 저는 공간이 만든 공간, 공간의 미래, 발터슈마트의 공간의 심리학, 스티븐 홀의 홀이라는 자 서전을 읽었습니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),그럼 그중에서 반드시 건축을 해야겠다라는 생각이 들게 한 책을 한가지 꼽자면 무엇인가요?,홀이라는 책이 건축가로서 살아갈 저의 미래에 대한 현실감으로 와 닿았기 때문에 가장 기억에 남 습니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),가장 기억에 남는 건축물과 이유를 말해주세요.,"아모레퍼시픽의 본사 건물이 가장 기억에 남습니다. 건축가가 사람들의 매끈한 피부결을 조선시대 백자로 연상시켜, 이를 모티브로 화장품 회사의 외관을 구성한 점이 인상 깊었기 때문입니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),향후 계획에 대해서 말해줄 수 있나요? 가능한 한 길게 말해주시면 좋을 것 같습니다.,"앞서 말씀드렸듯이, 제가 건축이라는 꿈을 꾸게 해준 것이 박물관과 같은 전시 공간이었기 때문에, 현재로서는 저도 훗날 실내 건축학을 전공하여 전시 공간 디자인 분야로 진출하고 싶습니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),건축의 3요소가 있습니다. 혹시 여기에 대해서 알고 있나요?,"거기에 대해선 잘 모르겠습니다만, 제가 생각하기에는 건물의 외관, 내관 그리고 건축가의 가치관 이라고 생각합니다!",18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),"3학년 때 실장이었는데, 실장으로서 힘들었던 점은?",1학년 때는 실장으로서의 생활이 처음이어서 친구들과의 의사 결정과정이 많이 힘들게 느껴졌었습 니다. 하지만 그런 경험들 덕분에 의사 소통능력과 포용력을 많이 기를 수 있었던 것 같습니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학과,학생부교과(지역균형),마지막으로 하고 싶은 말 있으면 해주세요.,"가천대에 합격한다고 하더라도, 합격했다는 사실 하나만으로 만족하고 안주하는 사람이 아닌, 가천 대에서 더 넓은 세상을 경험하며 계속해서 성장을 실천하는 전문인이 되도록 노력하겠습니다. 감 사합니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),지원동기 말해주세요.,2학년 때 건축 관련 동아리 활동을 하다가 실패한 경험을 바탕으로 더 체계적인 공부가 필요하다 고 생각했습니다. 예를 들면 가천대학교 무슨무슨 과목을 공부함으로써 더 많이 자세하게 배우고 싶어 지원했습니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),1학년 때 내용이라 정말 기억이 안 날 수도 있어요~ 1학년 때 활동했던 열회수교환장치 설명해 볼 수 있나요?,"기밀성이 장점이자 단점인 패시브 하우스에서 필수적인 장치로, 실내 공기와 외부 공기의 온도를 맞교환하며 따뜻한 공기는 밖으로 나가지 않고 차가운 공기는 들어오지 않게 한 채 실내 공기만 쾌적하게 바꾸게 해주는 장치입니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),BIM이 뭔지 설명해 볼 수 있나요?,건물정보모델입니다. (더 자세하게 말해보라는 눈치 받음) 건물의 생애 주기나 시스템을 체계적으 로 관리할 수 있게 하는 정보 그 자체이자 모형입니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),독서활동 중 가장 기억에 남는 책 소개해 줄 수 있나요?,건축 관련 책 소개. 새로운 깨달음을 받지는 않았지만 이 책을 읽음으로써 건축에 대해 새로운 관 점을 가질 수 있게 했던 책입니다,18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),혹시 가천대학교 건축학부 과목 중 배우고 싶은 과목이 있나요?,사회봉사 과목 얘기 꺼냈다가 바로 전공 관련 과목 있냐고 재질문 받음. 당황해서 전공 관련 과목 얘기하다가 전공 이름 틀림. (건축디지털모델링을 건축모델링......... 건축모델링....과목을 배우고 싶 습니다 라고 답함),18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),"수상 실적 중에 융합과학 대회에서 상을 받았는데, 무슨 대회였는지 설명해 줄 수 있나요?","STEAM 활동으로, ~~~~라는 과제를 해결하는 대회였습니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),긴장 많이 되면 심호흡하고 시작해 주세요.,네!! 후~(면접관분들 다 웃음),18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),지원 동기 말해주세요.,"저는 안도 다다오와 같은 혁신적이고 자연과 조화를 이루는 친환경적인 건축가가 되고자 합니다. 안도 다다오의 작품은 자연과 건축의 조화를 강조하며, 단순한 구조 속에서도 철학과 미학을 담 고 있습니다. 이러한 점에서 큰 영감을 받았고, 저 역시 자연과 사람을 연결하는 공간을 설계하고 자 고등학교에서 건축동아리를 개설하고 다양한 프로젝트들을 구상 및 수행하면서 많은 점을 배 울 수 있었습니다. 그렇지만 저에게는 공간의 효율성과 디자인의 조화를 이루는 데 있어서 어려 움을 겪었습니다. 이러한 부족함을 해결하고자 다양한 작품을 찾아보던 중 가천대 졸업작품집을 보게 되었습니다. 가천대는 다양한 교육 커리큘럼과 실습 기회 및 다양한 공모전을 하는 데 있어 많은 이점이 있다는 것을 알게 되었습니다. 저는 가천대에 가서 다양한 프로젝트와 공모전 그리 고 교수님들의 수업을 통해 안도도 다다오와 같은 건축가가 되고자 최선을 다할 것입니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),1학년 수학 시간에 푸리에 함수에 대해 학습하셨는데 푸리에 함수가 무엇이죠?,푸리에 함수를 간단하게 정의하면 삼각함수 또는 주기가 있는 함수의 합하고 그것을 그래프로 나 타낸 것입니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),존경하는 건축가로 안도 다다오를 선정하셨는데 노출콘크리트에 대해 어떻게 생각하시나요?,"노출콘크리트 기법은 본질 자체를 드러내는 기법으로 재료 자체의 질감을 느낄 수 있고 콘크리트 가 단단하고 웅장함을 주며 시간과 빛 그리고 기후에 따라 자연과의 조화를 이루는 모습을 보여 줍니다. 특히, 안도 다다오는 노출콘크리트 기법으로 한 건축물로 빛의 교회가 있습니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),통합과학 시간에 지진 대비 관련 발표를 하셨는데 무슨 내용이었고 어떻게 학생들에게 설명했죠?,"지진을 대비하는 방법으로는 내진, 제진, 지진 회피 3가지가 있습니다. 3가지 모두 건물의 내구성 을 높여 지진으로부터의 피해를 최소화해 줍니다. 먼저, 내진 설계는 가장 보편적으로 건물에 사 용되는 지진 대비 설계로 지붕이나 기둥 벽 등에 프레임을 추가하여 건물 자체의 내구성을 강화 하는 방법으로 비교적 저렴하나 반복적인 지진에는 약할 수 있습니다. 둘째로, 제지는 설계는 고 층빌딩에 많이 사용되는 지진 대비 설계로 건물에 추를 추가하여 지진으로부터의 충격을 받아 버 틸 수 있게 해주는 방법으로 반복적인 지진에 있어 강점을 보이나 제작비용 및 유지비용이 많이 든다는 단점도 있습니다. 마지막 지진 회피 설계는 건물과 지면 사이에 고무와 같은 면진 장치를 추가하여 지진의 충격을 보완하는 방법이나 처음 건물을 건설할 때가 아닌 나중에 추가하는 것이 불가능하다는 단점이 있습니다. 그리고 친구들 앞에서 발표할 때는 친구들이 이해하기 쉽게 직접 그림을 그려 ppt로 설명하고 추가로 영상자료를 활용했습니다. ◈ 가천대학교 - 7 -",18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),물리1의 열역학 제1 법칙을 소개해주세요.,죄송합니다. 긴장되어서 그 부분이 기억이 잘 나지 않습니다. (계속 뭐라 말씀하셨는데 자세히는 기억이 안 남) 대신 저는 그 부분에 열에너지 효율이 가장 좋은 카르노 기관을 학습 후 심화로 온돌의 열 흐름에 대해 탐구하였던 기억이 있습니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),이차곡선을 활용한 건축물에 관해 설명해 보세요.,"이차곡선은 아치, 타원 형태의 건축물을 나타낼 수 있습니다. 이를 미분을 하면 건물의 기울기와 각 하중을 구할 수 있습니다. 그리고 이를 적분하면 전체 부피에 대해서 구할 수도 있습니다.",18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),내진설계에 관해 설명해 보세요.,내진설계로는 면 진 설계와 제진 설계가 있겠습니다. 먼저 지진 회피 설계는 지진 회피 면에 댐퍼 를 사용해 건축물을 지상으로부터 띄어서 건축물에 피해가 가지 않도록 하는 방법입니다. 그리고 제지는 설계는 제진장치를 통해 건축물이 진동을 받는 반대 방향으로 건축물을 당겨 진동을 상쇄 시키는 형태입니다.,18ecadde-_______5.xlsx
가천대학교(성남),건축학부,학생부종합(가천바람개비),시간이 없어서 마지막 질문으로 3학년 자율활동 시간에 여러 가지 건축 구조에 대해 조사 하셨는 데 두 시청사를 비교했다는 내용은 무엇인가요?,저는 한국의 시청사와 미국의 시청사 각각 하나씩 선정하여 조사하였는데 한국의 시청사는 전통 적인 한국 건축의 요소를 재해석해 디자인에 잘 녹여냈고 주변 자연환경을 굉장히 중요시해 산이 나 계곡을 고려하여 디자인되었습니다. 반면 미국의 시청사는 주로 기능성과 상징성을 강조하는 건축물로 고전적인 그리스와 로마 양식으로 디자인되어 있습니다. 그리고 주로 도시의 중심부에 위치하여 시민들이 모일 수 있는 장소를 제공하기도 합니다. 이러한 차이가 있는 이유로는 시청 사의 의미와 인식의 차이라고 생각하고 있습니다.,18ecadde-_______5.xlsx
